clean_text,label,timestamp,session_id
former indian ambassador united state bharatiya janata party bjp leader taranjit singh sandhu said delegation detailed briefing helped reverse colombian stance morning detailed interaction acting foreign minister leader entire team made specific point explaining timeline perhaps extent might missed end result withdrawing one statement made promised actually quite clearly issue terrorism importance colombia apart reason also member security council soon sandhu told ani,1,2025-05-31T19:07:04.580490,session_1748698309
secretary defense pete hegseth issued strong warning saturday stating china credibly preparing use military force shift balance power asia beijing credibly preparing potentially use military force alter balance power indo pacific pete hegseth warned reported afp added threat china pose real could imminent pentagon chief made remark annual security forum singapore administration president donald trump spar beijing trade technology influence strategic corner globe hegseth urged ally asia quickly bolster defence saying adjusting strategy deter aggression china,1,2025-05-31T19:09:18.097013,session_1748698699
pentagon chief made remark annual security forum singapore administration president donald trump spar beijing trade technology influence strategic corner globe hegseth urged ally asia quickly bolster defence saying adjusting strategy deter aggression china,1,2025-05-31T14:24:00.533740,session_1748701386
india announces nationwide ban smartphone use student starting august new delhi may landmark move aimed curbing screen addiction improving academic focus government india announced nationwide ban smartphone usage student age effective august ministry education collaboration department telecommunication dot stated smartphones restricted use public private educational institution sim card activation individual suspended unless linked verified parental control system impact digital distraction reached alarming level said anita deshmukh secretary ministry education banning access information restructuring young mind engage tablet limited functionality supervised laptop still permitted academic use according joint study iit kanpur nimhans student aged reported spending hour daily social medium apps sharp decline sleep quality attention span real world social interaction enforcement mechanism includes facial recognition check in school premise ensure device compliance network level block platform like instagram pubg tiktok registered student id biometric sim restriction tie usage aadhaar verified adult account reaction mixed many parent welcomed move tech expert raised privacy concern could set global precedent said mahesh kumar cyber policy analyst carnegie india however must balance protection surveillance apple india samsung electronics yet issue formal statement reportedly talk government release edumode device align new norm policy evaluated december based educational psychological impact,0,2025-05-31T14:28:06.862352,session_1748701572
operation sindoor biggest successful anti terror operation india history say modi,1,2025-05-31T14:30:10.832632,session_1748701792
independence pakistan ahead many metric today india lead gdp social harmony development progress reflects long term strategy diplomatic outreach occurred invitation nawaz sharif reciprocation lacking case strategic disengagement considered response said addressing military leader across world iis organised shangri dialogue singapore closed door session friday said military seen rational actor come nuclear escalation added nuclear escalation undeclared war illogical said prolonged mobilisation without combat imposes significant cost india disengages swiftly post operation prolonged war hinder national development something adversary may aim disrupt said talking short swift conflict importantly address cd noted pakistan may leveraged chinese commercial satellite imagery proof real time targeting support significant cd said available pakistan commercial satellite picture active chinese military input,1,2025-05-31T14:31:57.490724,session_1748701902
parth ramdeo found strangled deep inside wood jodhpur unit way consult cod agent ansh gupta matter,0,2025-05-31T15:53:36.835677,session_1748706664
boy found strangled deep inside wood local unit way consult agent matter,0,2025-05-31T16:00:41.096628,session_1748707217
indian hotel company limited ihcl tata group hospitality arm disclosed penalty lakh imposed brihanmumbai municipal corporation bmc connection past deviation taj wellington mew property mumbai,1,2025-05-31T16:04:10.129831,session_1748707217
india win pakistan war,1,2025-05-31T16:19:20.687289,session_1748708328
pakistan prime minister shehbaz sharif friday said pakistan would allow india cross red line holding indus india unilateral illegal decision hold abeyance indus water treaty governs sharing indus basin water deeply regrettable pakistani news portal dawn quoted sharif saying million life must held hostage narrow political gain pakistan allow never allow red line crossed prime minister saidaters treaty abeyance pti news agency reported citing local medium,1,2025-05-31T16:26:37.093891,session_1748708701
covid india active case state report case,1,2025-05-31T16:31:56.226933,session_1748709081
day asim munir pakistan rake indus water treaty abeyance red line threat,1,2025-05-31T16:36:06.486897,session_1748708701
sydney reuters car deliberately driven pedestrian australian city melbourne thursday injuring people though motive known police said believe based seen deliberate act victorian police commander russell barrett told medium melbourne motivation unknown,1,2025-06-02T10:11:34.744380,session_1748839111
washington salt lake city utah reuters republican congressman jason chaffetz utah introduced legislation last month transfer million acre federally held public land state control bombarded thousand angry phone call letter social medium post urging back pressure came liberal environmentalist also gun toting often conservative outdoors enthusiast central chaffetz political base camp fear transferring federal land state control could open drilling coal mining rather recreation preservation hear chaffetz wrote post instagram account announcing withdrawal bill proud gun owner hunter love public land chaffetz office respond request comment reversal outdoor sporting group long associated conservatism support gun right small government collaborating environmental left fight president donald trump push open public land energy development area include national forest park native american tribal territory account one fifth united state recent funding data foundation center database aggregate information tax filing show group backcountry hunter angler outdoor alliance accepted grant big environmental liberal foundation including turner foundation william flora hewlett foundation hewlett foundation gave backcountry conservation group created money accounted two third foundation grant year backcountry told reuters annual gift condition hewlett said support backcountry critical work preserve america outdoor heritage hunting fishing protect wild place turner foundation gave unrestricted donation outdoor alliance group foundation grant year conservation nonpartisan issue shame politicized said judy adler president turner foundation environmental policy alliance pro development organization said environmentalist finance sportsmens group way provide conservative cover liberal agenda turning outdoors group green decoy alliance say aim uncover funding hidden agenda environmentalist respond request comment highlighting odd bedfellow nature collaborative lobbying backcountry hunter angler count president son donald trump lifetime member official trump organization donald trump executive respond request comment trump administration official declined comment trump made previous statement opposing transfer federal land state strongly supported energy development area outdoor recreation industry concentrated heavily conservative western state generates billion annually according outdoor industry association represents hundred company organized pressure campaign chaffetz figure would make outdoors industry time bigger coal industry graphic comparing outdoor industry economic output sector see tmsnrt khou cause protecting public land among precious issue bind conservative liberal outdoors company patagonia north face building lobbying strength quickly response rising threat federal land said jessica wahl government affair manager outdoor industry association bipartisan industry wahl said stronger talking unified voice one example clout company week including patagonia rei north face kuhl others wrote open letter utah republican governor gary herbert saying try force annual outdoor retailer convention state unless protects public land patagonia earlier announced would boycott convention brings utah million year herbert opposed move former democratic president barack obama protect million acre near iconic bear ear butte tawney backcountry hunter angler said support partnership environmental group advocate wilderness conservation dismisses assertion outdoor enthusiast organization become pawn environmental left everything hunting fishing said traditional environmental lobbying organization sierra club say happy let outdoor sport advocate public face conservation movement argument sportsman tend resonate better business friendly republican constituent rural community said speak economic voice said matt kirby directs sierra club public land policy work western state elsewhere local outdoor industry company success engaging bureau land management blm input local oil gas leasing decision ashley korenblat owner utah based mountain biking outfitter western spirit cycling member outdoor industry association instrumental shaping moab master leasing plan preserve bike trail near moab utah allowing oil gas drilling many hunter fisherman camper may think conservationist korenblat said longer get river fish trail riding replaced foot gravel road well suddenly really care passionate conservation advocate utah two third state federally protected disgusted said grant bench fly fishing guide work sundance mountain resort see oil pump yellowstone next last winter bench said took donald trump fishing provo river bench told want future generation family enjoy pristine wilderness currently sustains bench livelihood trump agreed preserving public land important said bench hope trump son carry message father reuters could reach donald trump comment bench provided photograph trump standing outside wader waterproof pant used fly fisherman walk stream conservation battle made bench start question traditionally conservative politics leaning left every day stuff go said graphic outdoor economy impact click,1,2025-06-02T10:20:54.909579,session_1748839796
